# pattern	okipona	truth	rationale	hotwords
or2/ukrn-horizon-bridge	awen	旦	UKRN Horizon Bridge -> awen/旦: When horizon signals are routed through the centerline, Brookes gains negentropic alignment—less reinvention, stronger credibility with funders/REF, and practical improvements that feel supportive rather than imposed.	ukrn, horizon, bridge, or2, when, signals, routed, through, centerline, brookes
or2/xiangqi-decorators	nimi	艺	Xiangqi-Inspired Decorators (Institutional Pieces) -> nimi/艺: Decorators make institutional tensions legible at a glance, improving navigability, pattern casting, and recognition of positional constraints without resorting to heavy prose or cultural caricature.	xiangqi, inspired, decorators, institutional, pieces, or2, make, tensions, legible, glance
p4ng/agent-command-pattern	ken	井	Agent Command Pattern -> ken/井: A uniform command abstraction gives the stack a shared action language: histories become replayable, undo/redo is tractable, thread pools can execute arbitrary work safely, and schedulers can move labour across machines without touching implementation internals.	agent, command, pattern, p4ng, uniform, abstraction, gives, stack, shared, action
p4ng/agent-decorator-pattern	len	示	Agent Decorator Pattern -> len/示: Decorators let the agent stack layer observability, safety, and stewardship concerns without touching the business logic, so logging can be switched on globally, permission checks stay consistent, and concurrency guards become reusable armour around any command.	agent, decorator, pattern, p4ng, decorators, let, stack, layer, observability, safety
p4ng/agent-pattern-triad	len	井	Agent Pattern Triad — Intent to Execution -> len/井: The Command/Strategy/Decorator triad turns “random agent code” into an explainable circuit—what gets done, how choices are made, and which protections wrap the work—so experimentation stays safe, reasoning stays legible, and multi-threaded agents behave predictably.	agent, pattern, triad, intent, execution, p4ng, command, strategy, decorator, turns
p4ng/agent-strategy-pattern	nasin	义	Agent Strategy Pattern -> nasin/义: Strategies separate intent (“summarise this log”) from method (“fast heuristic vs deep reasoning”), enabling safe experiments, per-context policy bundles, and cleaner reasoning about which solver is responsible for each outcome.	agent, strategy, pattern, p4ng, strategies, separate, intent, summarise, log, method
p4ng/attribution-forward	lukin	介	Attribution-Forward Review -> lukin/介: Transparent credit increases fairness and visibility of diverse labour.	attribution, forward, review, p4ng, transparent, credit, increases, fairness, visibility, diverse
p4ng/borrow-the-situation	li	平	Borrow the Situation -> li/平: Co-defined challenges increase contextual fit and engagement.	borrow, situation, p4ng, co, defined, challenges, increase, contextual, fit, engagement
p4ng/boundary-oscillation	ante	了	Boundary Oscillation -> ante/了: Distributed systems must reconverge periodically to maintain coherence.	boundary, oscillation, p4ng, distributed, systems, reconverge, periodically, maintain, coherence, activate
p4ng/bridge-before-portal	pali	以	Bridge-Before-Portal -> pali/以: Early, low-pressure exposure increases willingness to adopt and reduces confusion.	bridge, before, portal, p4ng, early, low, pressure, exposure, increases, willingness
p4ng/call-a-synthesizer	pali	了	Call a Synthesizer -> pali/了: Forward motion requires shared grounding in existing work.	call, synthesizer, p4ng, forward, motion, requires, shared, grounding, existing, work
p4ng/candidate-move-generation	kin	丛	Candidate Move Generation -> kin/丛: Structured exploration of options prevents premature convergence and supports richer problem solving.	candidate, move, generation, p4ng, structured, exploration, options, prevents, premature, convergence
p4ng/citizen-colearning	pata	人	Citizen Co-Learning Track -> pata/人: Shared learning increases understanding, trust, and participation.	citizen, co, learning, track, p4ng, colearning, shared, increases, understanding, trust
p4ng/co-design-partners-agent	pali	了	Co-Design Partners Agent -> pali/了: Trustworthy systems emerge through reciprocal design, not fiat.	co, design, partners, agent, p4ng, trustworthy, systems, emerge, through, reciprocal
p4ng/disruption-traceback	ante	引	Disruption Traceback -> ante/引: Accountability mechanisms reinforce shared norms.	disruption, traceback, p4ng, accountability, mechanisms, reinforce, shared, norms, initiate, proportionate
p4ng/dream-audit	ma	只	DREAM Audit (Per Release) -> ma/只: Explicit value review makes alignment and drift visible.	dream, audit, per, release, p4ng, explicit, value, review, makes, alignment
p4ng/feedback-rhythms	ante	了	Feedback Rhythms -> ante/了: Regular rhythms of feedback keep evolving systems aligned with changing conditions.	feedback, rhythms, p4ng, regular, keep, evolving, systems, aligned, changing, conditions
p4ng/fit-for-use	ante	只	Fit-for-Use Stars -> ante/只: Nuanced quality indicators support improvement and clearer communication.	fit, use, stars, p4ng, nuanced, quality, indicators, support, improvement, clearer
p4ng/five-p-rhythm	pali	了	Five-P Rhythm for Impact -> pali/了: Rhythmic structure supports sustained action and clearer evaluation.	five, p, rhythm, impact, p4ng, rhythmic, structure, supports, sustained, action
p4ng/friction-as-feature	seli	石	Friction-as-Feature -> seli/石: Well-placed friction protects integrity and prevents premature or careless decisions.	friction, feature, p4ng, well, placed, protects, integrity, prevents, premature, careless
p4ng/harvest-before-close	pini	以	Harvest Before You Close -> pini/以: Capturing knowledge while fresh prevents loss of learning.	harvest, before, close, p4ng, capturing, knowledge, while, fresh, prevents, loss
p4ng/identifier-garden	kasi	田	Identifier Garden -> kasi/田: Stewarded identifiers increase traceability and reduce metadata drift.	identifier, garden, p4ng, stewarded, identifiers, increase, traceability, reduce, metadata, drift
p4ng/institutional-drift	ante	了	Institutional Drift -> ante/了: Institutions require periodic re-grounding to avoid ossification.	institutional, drift, p4ng, institutions, require, periodic, re, grounding, avoid, ossification
p4ng/legitimate-iteration	mu	由	Legitimate Iteration -> mu/由: Transparent mechanisms for revision build trust and resilience.	legitimate, iteration, p4ng, transparent, mechanisms, revision, build, trust, resilience, apply
p4ng/license-as-story	ante	只	License-as-Story -> ante/只: Narrative notes increase understanding and encourage constructive, informed reuse.	license, story, p4ng, narrative, notes, increase, understanding, encourage, constructive, informed
p4ng/license-laddering	li	工	License Laddering -> li/工: Progressive licensing reduces fear-driven restriction and allows flexibility as the project matures.	license, laddering, p4ng, progressive, licensing, reduces, fear, driven, restriction, allows
p4ng/maintainer-care	ni	友	Maintainer Care -> ni/友: Supporting maintainers increases longevity and project quality.	maintainer, care, p4ng, supporting, maintainers, increases, longevity, project, quality, make
p4ng/meta-reflection-loop	kin	术	Meta-Reflection Loop -> kin/术: Meta-reflection enables iterative refinement of methods.	meta, reflection, loop, p4ng, enables, iterative, refinement, methods, add, closing
p4ng/meta-reflection-loop-agent	ante	了	Meta-Reflection Loop (Agent-Facing) -> ante/了: Adaptive facilitation requires agents to reflect on how they reason, not only on what they output.	meta, reflection, loop, agent, facing, p4ng, adaptive, facilitation, requires, agents
p4ng/method-documentary-split	nena	术	Method / Documentary Split -> nena/术: Clean separation increases legibility and supports better updating.	method, documentary, split, p4ng, clean, separation, increases, legibility, supports, better
p4ng/name-the-frame	kalama	术	Name the Frame -> kalama/术: Clarity of framing builds autonomy and investment.	name, frame, p4ng, clarity, framing, builds, autonomy, investment, explicitly, describe
p4ng/norm-seed	ante	以	Norm Seed -> ante/以: Early framing disproportionately shapes long-term behaviour.	norm, seed, p4ng, early, framing, disproportionately, shapes, long, term, behaviour
p4ng/outcome-synthesizer	nasin	末	Outcome Synthesizer -> nasin/末: Divergence without convergence produces noise instead of actionable outcomes.	outcome, synthesizer, p4ng, divergence, without, convergence, produces, noise, instead, actionable
p4ng/overlay-bridges	ante	支	Overlay Bridges -> ante/支: Pre-portal bridges strengthen proposals and increase quality at entry.	overlay, bridges, p4ng, pre, portal, strengthen, proposals, increase, quality, entry
p4ng/pattern-activation	ante	了	Pattern Activation -> ante/了: Targeted activation of prior structure improves both efficiency and quality of responses.	pattern, activation, p4ng, targeted, prior, structure, improves, both, efficiency, quality
p4ng/pattern-diffusion	ante	以	Pattern Diffusion -> ante/以: Spreading and contesting patterns allows MAS to improve collectively rather than in isolated pockets.	pattern, diffusion, p4ng, spreading, contesting, patterns, allows, mas, improve, collectively
p4ng/pattern-dispute-dialogue	toki	口	Pattern Dispute Dialogue -> toki/口: Productive conflict resolution deepens co-understanding and evolves pattern clarity.	pattern, dispute, dialogue, p4ng, productive, conflict, resolution, deepens, co, understanding
p4ng/pattern-priming	kin	勿	Pattern Priming -> kin/勿: Surfacing tacit knowledge enables double-loop learning.	pattern, priming, p4ng, surfacing, tacit, knowledge, enables, double, loop, learning
p4ng/pattern-the-play	ante	只	Pattern the Play -> ante/只: Nonverbal practices surface tacit design knowledge.	pattern, play, p4ng, nonverbal, practices, surface, tacit, design, knowledge, treat
p4ng/peripheral-to-core	pali	亏	Peripheral-to-Core Pathways -> pali/亏: Clear pathways increase retention and distribute expertise.	peripheral, core, pathways, p4ng, clear, increase, retention, distribute, expertise, establish
p4ng/platform-choreography	lape	也	Platform Choreography -> lape/也: Clear choreography reduces confusion and creates predictable user journeys.	platform, choreography, p4ng, clear, reduces, confusion, creates, predictable, user, journeys
p4ng/proportional-load-sharing	pali	布	Proportional Load Sharing -> pali/布: Sustainable MAS practice requires balanced contribution patterns.	proportional, load, sharing, p4ng, sustainable, mas, practice, requires, balanced, contribution
p4ng/quality-by-design	pali	也	Quality-by-Design Crowd -> pali/也: Shared responsibility increases robustness and reduces bottlenecks.	quality, design, crowd, p4ng, shared, responsibility, increases, robustness, reduces, bottlenecks
p4ng/readiness-windows	ante	了	Readiness Windows -> ante/了: Time-sensitive alignment increases project coherence and reduces bottlenecks.	readiness, windows, p4ng, time, sensitive, alignment, increases, project, coherence, reduces
p4ng/reflect-in-layers	ante	节	Reflect in Layers -> ante/节: Layered reflection builds shared understanding and adaptive capacity.	reflect, layers, p4ng, layered, reflection, builds, shared, understanding, adaptive, capacity
p4ng/reflection-scaffold-upgrade	weka	介	Reflection Scaffold Upgrade -> weka/介: Developmental learning requires scaffolding that evolves with system maturity.	reflection, scaffold, upgrade, p4ng, developmental, learning, requires, scaffolding, evolves, system
p4ng/retirement-shelf	ni	史	Retirement Shelf -> ni/史: Responsible retirement protects history while reducing unnecessary maintenance load.	retirement, shelf, p4ng, responsible, protects, history, while, reducing, unnecessary, maintenance
p4ng/role-reveal	ona	己	Role Reveal -> ona/己: Transparency stabilizes group process.	role, reveal, p4ng, transparency, stabilizes, group, process, make, facilitation, roles
p4ng/role-reveal-agent	ona	支	Role Reveal (Agent-Facing) -> ona/支: Transparent roles reduce confusion and support division of labour in MAS.	role, reveal, agent, facing, p4ng, transparent, roles, reduce, confusion, support
p4ng/self-patterning-mandate	sike	勿	Self-Patterning Mandate -> sike/勿: MAS flexibility depends on recognised autonomy to define and adapt internal practices.	self, patterning, mandate, p4ng, mas, flexibility, depends, recognised, autonomy, define
p4ng/shared-memory-architecture	ala	史	Shared Memory Architecture -> ala/史: Collective learning depends on retaining and re-accessing prior experience.	shared, memory, architecture, p4ng, collective, learning, depends, retaining, re, accessing
p4ng/snapshot-with-story	lukin	只	Snapshot-with-Story DOI -> lukin/只: Story-linked snapshots make updates intelligible and increase meaningful reuse.	snapshot, story, doi, p4ng, linked, snapshots, make, updates, intelligible, increase
p4ng/start-with-sense	lete	去	Start with Sense -> lete/去: Affective alignment enables deeper inquiry.	start, sense, p4ng, affective, alignment, enables, deeper, inquiry, begin, sensory
p4ng/tension-detection	kin	义	Tension Detection -> kin/义: Making tensions visible is a prerequisite for productive negotiation and learning.	tension, detection, p4ng, making, tensions, visible, prerequisite, productive, negotiation, learning
p4ng/timebox-the-core	sijelo	了	Timebox the Core -> sijelo/了: Time constraints sharpen focus and support iterative learning.	timebox, core, p4ng, time, constraints, sharpen, focus, support, iterative, learning
p4ng/timebox-the-core-agent	e	了	Timebox the Core (Agent-Facing) -> e/了: Respecting finite attention and resources preserves trust in the agent and the protocol.	timebox, core, agent, facing, p4ng, respecting, finite, attention, resources, preserves
p4ng/timebox-the-core-agent-prime	pali	了	Timebox the Core (Agent-Facing)' -> pali/了: Efficiency in the moment and depth deferred preserves flow without sacrificing insight.	timebox, core, agent, facing, p4ng, prime, efficiency, moment, depth, deferred
p4ng/tune-audits	weka	节	Tune Audits (Quarterly) -> weka/节: Regular low-friction audits maintain momentum without burden.	tune, audits, quarterly, p4ng, regular, low, friction, maintain, momentum, without
p4ng/two-stage-fidelity	pali	了	Two-Stage Fidelity (Registered Rhythm) -> pali/了: Separating intent from execution provides clearer evaluation and reduces ambiguity.	two, stage, fidelity, registered, rhythm, p4ng, separating, intent, execution, provides
pacspine/bonus-layer	pali	只	Pattern 7 — Signal the Further Benefit -> pali/只: One delightful surprise invites curiosity without overwhelm.	pattern, 7, signal, further, benefit, pacspine, bonus, layer, one, delightful
pacspine/channel-upgrade	musi	业	Pattern 2 — Upgrade the Channel (Reveal the Real Ask) -> musi/业: People hire the candidate who understands the real problem.	pattern, 2, upgrade, channel, reveal, real, ask, pacspine, people, hire
pacspine/crisp-success	pali	只	Pattern 5 — Earn Their Approval (One Crisp Success) -> pali/只: Specificity builds credibility faster than volume.	pattern, 5, earn, approval, one, crisp, success, pacspine, specificity, builds
pacspine/frictionless-next	tenpo	力	Pattern 8 — Show Them How to Seal the Deal -> tenpo/力: Lower activation energy raises response rates.	pattern, 8, show, how, seal, deal, pacspine, frictionless, next, lower
pacspine/future-field	pali	以	Pattern 6 — Get Them Excited (Open the Future Field) -> pali/以: Partners fund believable futures.	pattern, 6, get, excited, open, future, field, pacspine, partners, fund
pacspine/ghost-move	toki	匀	Pattern 9 — Empower Them (Ghost Move) -> toki/匀: Lasting goodwill keeps future engagements possible.	pattern, 9, empower, ghost, move, pacspine, lasting, goodwill, keeps, future
pacspine/goodwill	sijelo	业	Pattern 4 — Secure Their Goodwill (Cultural Alignment) -> sijelo/业: Teams back candidates who lighten load.	pattern, 4, secure, goodwill, cultural, alignment, pacspine, teams, back, candidates
pacspine/inception-move	kin	以	Pattern 3 — Inception Move (Epistemic Entry Point) -> kin/以: Inception beats persuasion; it shows lived understanding.	pattern, 3, inception, move, epistemic, entry, point, pacspine, beats, persuasion
pacspine/indicators-checker	ken	只	Pattern 11 — Indicators Checker -> ken/只: Uniform standards keep the set coherent.	pattern, 11, indicators, checker, pacspine, uniform, standards, keep, set, coherent
pacspine/obligations-checker	jo	只	Pattern 12 — Obligations Checker -> jo/只: This harness protects integrity while projecting facets deliberately.	pattern, 12, obligations, checker, pacspine, harness, protects, integrity, while, projecting
pacspine/quick-intro	monsi	刊	Pattern 1 — Quick Intro (Alignment Hook) -> monsi/刊: Immediate resonance positions you as context-aware rather than generic.	pattern, 1, quick, intro, alignment, hook, pacspine, immediate, resonance, positions
pacspine/simple-close	o	只	Pattern 10 — Tie It All Together -> o/只: Simplicity signals maturity.	pattern, 10, tie, all, together, pacspine, simple, close, simplicity, signals
paramitas/discernment	wan	一	Discernment -> wan/一: Discernment grows by reclassifying what is required now versus what must remain optional later.	discernment, paramitas, grows, reclassifying, what, required, now, versus, remain, optional
paramitas/endurance	tenpo	久	Endurance -> tenpo/久: Capacity-building requires preserving the warranting middle of how a transition became actionable.	endurance, paramitas, capacity, building, requires, preserving, warranting, middle, how, transition
paramitas/equanimity	pali	止	Equanimity -> pali/止: Symbolic futures exert real pressure in the present without being causal; equanimity depends on distinguishing which systems require planning versus openness.	equanimity, paramitas, symbolic, futures, exert, real, pressure, present, without, being
paramitas/ethical-containment-vs-moral-totalisation	pona	仁	Ethical Containment vs Moral Totalisation -> pona/仁: Ethical coherence under pressure depends on preventing collapse into denial or domination, not on eliminating constitutive forces.	ethical, containment, vs, moral, totalisation, paramitas, coherence, under, pressure, depends
paramitas/generosity	sin	习	Generosity -> sin/习: Coherence reduces cognitive load more reliably than distraction does.	generosity, paramitas, coherence, reduces, cognitive, load, more, reliably, than, distraction
paramitas/good-will	pilin	仁	Good Will -> pilin/仁: Accurate attribution prevents transactional narratives from distorting good will and allows closure without denying either care or responsibility.	good, paramitas, accurate, attribution, prevents, transactional, narratives, distorting, allows, closure
paramitas/non-transactional-intensity	wawa	力	Non-Transactional Intensity -> wawa/力: Intensity often emerges from contextual compression rather than intrinsic relational demand; reading it ecologically preserves agency and proportionality.	non, transactional, intensity, paramitas, often, emerges, contextual, compression, rather, than
paramitas/persistence	tawa	功	Persistence -> tawa/功: Long-term work survives only when it is socially and internally intelligible as a way of living.	persistence, paramitas, long, term, work, survives, only, when, socially, internally
paramitas/proper-routing-of-craving	li	今	Proper Routing of Craving -> li/今: Craving is a pointer toward missing conditions; acting on it without checking jurisdiction produces category errors.	proper, routing, craving, paramitas, pointer, toward, missing, conditions, acting, without
paramitas/truth	toki	白	Truth -> toki/白: Formal-methods sensibilities provide shared criteria for good reasoning infrastructure, making the pattern layer legible as operational governance.	truth, paramitas, formal, methods, sensibilities, provide, shared, criteria, good, reasoning
portal/first-class-query-interface			First-Class Query Interface -> unknown/unknown: First-class queries support rich exploration and align guidance with intent.	first, class, query, interface, portal, queries, support, rich, exploration, align
portal/portal-command-surface			Portal Command Surface -> unknown/unknown: A small, consistent surface makes automation reliable and user docs durable.	portal, command, surface, small, consistent, makes, automation, reliable, user, docs
portal/portal-sidecar-interop			Portal and Sidecar Interop -> unknown/unknown: Separating query and audit paths keeps guidance flexible and logs authoritative.	portal, sidecar, interop, separating, query, audit, paths, keeps, guidance, flexible
repository-transition/counterstrawman	mute	门	Counterstrawman: Emporium Repository -> mute/门: Development is supported through frictionless contribution.	counterstrawman, emporium, repository, transition, development, supported, through, frictionless, contribution, identity
repository-transition/counterstrawman-indicators	mute	门	Emporium Indicators -> mute/门: The emporium must be accountable to internal stakeholders,	emporium, indicators, repository, transition, counterstrawman, accountable, internal, stakeholders, meaningful, signals
repository-transition/diagnostics	lukin	们	Role × Value Diagnostics -> lukin/们: Contribution friction remains high for many depositors.	role, value, diagnostics, repository, transition, contribution, friction, remains, high, many
repository-transition/identity-space	loje	门	Repository Identity Space -> loje/门: Identity and expectations remain tacit unless explicitly mapped.	repository, identity, space, transition, expectations, remain, tacit, unless, explicitly, mapped
repository-transition/invariants	lukin	支	Role × Value Invariants -> lukin/支: We ARE a community producing and sharing research, and we BELIEVE in Generosity of Spirit,	role, value, invariants, repository, transition, community, producing, sharing, research, believe
repository-transition/job-argument	sina	义	Repository Transition Job Argument -> sina/义: These tensions can be used as design signals with a simple, repeatable leadership pattern.	repository, transition, job, argument, these, tensions, used, design, signals, simple
repository-transition/strawman	seli	亏	Strawman Misalignment Map -> seli/亏: Development pathways are constrained by system friction.	strawman, misalignment, map, repository, transition, development, pathways, constrained, system, friction
repository-transition/transformation-engine	pali	旦	Leadership Patterns Underpinning the Transformation Cycle -> pali/旦: People connect to work through different modes of intimacy.	leadership, patterns, underpinning, transformation, cycle, repository, transition, engine, people, connect
sidecar/append-only-semantic-audit			Append-Only Semantic Audit -> unknown/unknown: Append-only logs enable audits and provenance tracking without silent mutation.	append, only, semantic, audit, sidecar, logs, enable, audits, provenance, tracking
sidecar/artifact-entity-mention-grounding			Artifact, Entity, and Mention Grounding -> unknown/unknown: Grounding makes proposals auditable and promotes stable chain building.	artifact, entity, mention, grounding, sidecar, makes, proposals, auditable, promotes, stable
sidecar/bridge-triple-escalator			Bridge Triple Escalator -> unknown/unknown: Curated bridges provide explicit warrants without inflating facts prematurely.	bridge, triple, escalator, sidecar, curated, bridges, provide, explicit, warrants, without
sidecar/chain-builder-softness-accounting			Chain Builder with Softness Accounting -> unknown/unknown: Softness accounting shows where fuzz enters the chain and enables review.	chain, builder, softness, accounting, sidecar, shows, where, fuzz, enters, enables
sidecar/explicit-promotion-to-facts			Explicit Promotion to Facts -> unknown/unknown: Explicit promotion prevents silent contamination and preserves auditability.	explicit, promotion, facts, sidecar, prevents, silent, contamination, preserves, auditability, promote
sidecar/fact-lifecycle-event-types			Fact Lifecycle Event Types -> unknown/unknown: Explicit lifecycle events preserve audit trails and clarify which facts are currently active.	fact, lifecycle, event, types, sidecar, explicit, events, preserve, audit, trails
sidecar/per-id-audit-timeline-linkage			Per-ID Audit Timeline Linkage -> unknown/unknown: Cross-entity linkage turns append-only logs into inspectable histories.	per, id, audit, timeline, linkage, sidecar, cross, entity, turns, append
sidecar/proposal-ledger-for-fuzzy-output			Proposal Ledger for Fuzzy Output -> unknown/unknown: A proposal ledger preserves provenance and enables explicit promotion.	proposal, ledger, fuzzy, output, sidecar, preserves, provenance, enables, explicit, promotion
sidecar/sense-shift-gate			Sense-Shift Gate -> unknown/unknown: Gating reduces drift and keeps chains explainable.	sense, shift, gate, sidecar, gating, reduces, drift, keeps, chains, explainable
sidecar/tri-store-separation			Tri-Store Semantic Separation -> unknown/unknown: Each store has a different trust level; separation keeps fuzz from becoming fact.	tri, store, semantic, separation, sidecar, each, different, trust, level, keeps
sidecar/typed-kolmogorov-arrows			Typed Kolmogorov Arrows -> unknown/unknown: Typed arrows make transforms inspectable and scoreable in chains.	typed, kolmogorov, arrows, sidecar, make, transforms, inspectable, scoreable, chains, represent
sidecar/validation-enforcement-gate			Validation and Enforcement Gate -> unknown/unknown: Centralized enforcement prevents silent drift and keeps logs auditable.	validation, enforcement, gate, sidecar, centralized, prevents, silent, drift, keeps, logs
software-design/adapter-pattern	lawa	申	Adapter Pattern -> lawa/申: A single translation boundary isolates change and preserves clean contracts.	adapter, pattern, software, design, single, translation, boundary, isolates, change, preserves
software-design/facade-pattern	lawa	申	Facade Pattern -> lawa/申: A stable facade shields callers from churn in underlying components.	facade, pattern, software, design, stable, shields, callers, churn, underlying, components
software-design/observer-pattern	kiwen	介	Observer Pattern -> kiwen/介: The publisher remains stable while observers evolve independently.	observer, pattern, software, design, publisher, remains, stable, while, observers, evolve
software-design/proxy-pattern	lawa	介	Proxy Pattern -> lawa/介: The proxy isolates policy while preserving substitutability.	proxy, pattern, software, design, isolates, policy, while, preserving, substitutability
software-design/state-pattern	linja	双	State Pattern -> linja/双: State-specific logic stays localized and transitions become explicit.	state, pattern, software, design, specific, logic, stays, localized, transitions, become
stack-coherence/commit-intent-alignment	mute	上	Commit Intent Alignment -> mute/上: viriya is kinetic practice—commits and devmaps must reflect the same movement or we lose trust in both	commit, intent, alignment, stack, coherence, viriya, kinetic, practice, commits, devmaps
stack-coherence/evidence-ledger	kin	本	Stack Evidence Ledger -> kin/本: dhammavicaya isn’t vibes—claims must cite reproducible proofs or they drift into fiction	stack, evidence, ledger, coherence, dhammavicaya, isn, t, vibes, claims, cite
stack-coherence/futon-bridge-health	nasin	门	Futon Bridge Health Check -> nasin/门: dhammavicaya requires knowing what exists — bridges are the connective tissue of the stack, and their health must be observable, not assumed	futon, bridge, health, check, stack, coherence, dhammavicaya, requires, knowing, what
stack-coherence/futon1-determinism	lawa	申	Futon1 Determinism Gate -> lawa/申: dhammavicaya keeps the substrate honest—the focus-header fixture, graph-memory schema tests, and NLP pipeline fixtures are the shared proof artifacts, so stack-coherence loops must treat a red CI badge (or failing local run) as a blocking condition for Prototype 1 duties	futon1, determinism, gate, stack, coherence, dhammavicaya, keeps, substrate, honest, focus
stack-coherence/futon1-storage-coherence	taso	正	Futon1 Storage Coherence Guard -> taso/正: the Charon guard provides deterministic rejection of invalid writes, and the penholder registry ensures every model descriptor is authorized and signed before it can mutate the store	futon1, storage, coherence, guard, stack, charon, provides, deterministic, rejection, invalid
stack-coherence/maturity-evidence-audit	suli	升	Maturity Evidence Audit -> suli/升: maturity tags are trust signals — downstream consumers decide what to depend on based on claimed maturity, so false claims cause silent breakage	maturity, evidence, audit, stack, coherence, tags, trust, signals, downstream, consumers
stack-coherence/readme-devmap-sync	nasin	本	README ⇄ Devmap Sync -> nasin/本: the README is the public proof sketch; if it diverges from the devmap, nobody knows what is actually done or blocked	readme, devmap, sync, stack, coherence, public, proof, sketch, diverges, nobody
stack-coherence/ready-blocked-triage	nasin	本	Ready/Blocked/Triage Classifier -> nasin/本: knowing the state of each obligation is the core of informal proofkeeping	ready, blocked, triage, classifier, stack, coherence, knowing, state, each, obligation
stack-coherence/stack-blocker-detection	len	示	Stack Blocker Detection -> len/示: dhammavicaya means naming what already exists—and what is still blocking it—so we don’t conflate “not started” with “stalled”	stack, blocker, detection, coherence, dhammavicaya, means, naming, what, already, exists
stack-coherence/staleness-scan	ma	止	Staleness Scan -> ma/止: keeping the prose synchronized with the proof is part of coherence—otherwise the map lies while the territory shifts	staleness, scan, stack, coherence, keeping, prose, synchronized, proof, part, otherwise
t4r/dtp-fit	tan	氏	2 Relationship to existing doctoral training -> tan/氏: Most doctoral programmes teach disciplinary technique but rarely teach how disciplines learn from one another. talk4real combines ethnography, computer science, and design so scholars can treat conversation, computation, and intervention as one method. The Supplement pilot treats conversation as data and prototype as publication, keeping every scholar inside a continuous REPL loop. The programme operates as a portable connective tissue for other DTPs, enabling cross-cohort self-correction without extra training burden.	2, relationship, existing, doctoral, training, t4r, dtp, fit, most, programmes
t4r/exec-summary-tree	pali	了	Executive Summary -> pali/了: Most doctoral programmes operate within disciplinary or thematic silos, limiting cross-boundary learning and system-level improvement. Collective-intelligence frameworks can capture feedback between researchers, institutions, and communities so research systems learn from their own activity. The model is structured by ethical reflexivity (co-authored representation), lightweight infrastructure (portable method), and polyphonic governance (synthesised voices). Related precedents include initiatives such as realtalk@MIT, PlanetMath.org, and Peeragogy.	executive, summary, t4r, exec, tree, most, doctoral, programmes, operate, within
t4r/legacy	pali	了	5 Legacy and sustainability -> pali/了: The programme yields software components, data schemas, and design templates alongside researchers fluent in listening, analysis, and redesign. Each doctoral project produces a self-contained yet interoperable prototype, so sustainability never depends on a single host institution. The Supplement embodies this ethos as a collaboratively authored artefact that is simultaneously document, dataset, and performance. Graduates seed the method elsewhere while the open infrastructure supports new nodes linking universities, civic organisations, and cultural institutions into an evolving ecosystem.	5, legacy, sustainability, t4r, programme, yields, software, components, data, schemas
t4r/rationale	pali	了	1 Rationale for the choice of research subject area -> pali/了: Research policies, tools, and incentives currently pile up without coherent mechanisms for reflection. Institutions generate knowledge faster than they can interpret, while prevailing audits and surveys prioritise compliance over learning. The Supplement’s simulated dialogue, participatory annotation, and iterative synthesis show the research system studying itself in real time. Formalising a social-psychological REPL makes reflexive learning habitual from doctoral study to institutional governance.	1, rationale, choice, research, subject, area, t4r, policies, tools, incentives
t4r/supplement	pali	了	Supplement workshop transcript -> pali/了: Facilitators run five segments mapped to Read, Evaluate, Print, Loop with defined roles—facilitator, recorder, reporter, persona agents—to interrogate the brief. Persona statements from researchers, doctoral scholars, developer-scholars, supervisors, administrators, and the talk4real team surface strengths, blind spots, and initial stances. Participants co-design minimal listening captures, consent protocols, tagging vocabularies, and assessment artefacts that treat stories as analyzable yet textured data. Live debate over anonymisation, governance boards, licensing, and preserving dissent keeps the Print phase accountable to what Read reveals, demonstrating the reflexive loop in action.	supplement, workshop, transcript, t4r, facilitators, run, five, segments, mapped, read
t4r/support	pata	女	6 Additional financial or other support resources -> pata/女: The main assets are conversation, computation, and coordination already present in partner institutions, so core costs focus on stipends, workshops, and hosting. Partners such as the UK Reproducibility Network, PathOS, and the Oxford Schwartzman Centre plus allied studios and labs contribute mentoring and in-kind expertise. Open-source software, shared cloud infrastructure, and cross-university collaboration keep financial overhead minimal while maximising reach. Outputs remain freely available, ensuring continuing value beyond the funding window.	6, additional, financial, other, support, resources, t4r, main, assets, conversation
t4r/training	poka	友	4 Supervision, training, and cohort-building activities -> poka/友: Supervision is collaborative and polyphonic, pairing disciplinary mentors with methodological companions in ethnography, data science, and design. Training follows the shared REPL rhythm demonstrated in the Supplement, grounding every project in a common protocol. Cohort practices such as listening clinics and signal-boost workshops share data, analyse overlaps, and co-design interventions. Portfolio assessment with open datasets, code notebooks, design artefacts, and open peer review makes each scholar a co-investigator refining the collective infrastructure.	4, supervision, training, cohort, building, activities, t4r, collaborative, polyphonic, pairing
t4r/value	jelo	以	3 Added value to the field and the universities -> jelo/以: Ten linked doctoral projects—talk4maths, talk4health, talk4policy, talk4arts, and others—test the same REPL architecture in different domains. Each project contributes stories, datasets, and tools to an evolving commons that lets institutions reflect collectively. The Supplement demonstrates cross-voice dialogue, thematic tagging, consent protocols, and reflective synthesis working as a live prototype. Universities gain a practical method for adaptive governance, and the wider field gains a way to study and iteratively improve epistemic systems.	3, added, value, field, universities, t4r, ten, linked, doctoral, projects
